Result for evaluating problem `subnum`
No.   Points   Time     Result

  1    2.500    0.016      OK!
  2    2.500    0.016      OK!
  3    2.500    0.015      OK!
  4    2.500    0.016      OK!
  5    2.500    0.016      OK!
  6    2.500    0.016      OK!
  7    2.500    0.016      OK!
  8    2.500    0.015      OK!
  9    2.500    0.015      OK!
 10    2.500    0.016      OK!
 11    2.500    0.016      OK!
 12    2.500    0.015      OK!
 13    2.500    0.031      OK!
 14    2.500    0.015      OK!
 15    2.500    0.016      OK!
 16    2.500    0.000      OK!
 17    2.500    0.000      OK!
 18    2.500    0.016      OK!
 19    2.500    0.015      OK!
 20    2.500    0.015      OK!
 21    2.500    0.016      OK!
 22    2.500    0.016      OK!
 23    2.500    0.015      OK!
 24    2.500    0.031      OK!
 25    2.500    0.015      OK!
 26    2.500    0.016      OK!
 27    2.500    0.031      OK!
 28    2.500    0.016      OK!
 29    2.500    0.078      OK!
 30    2.500    0.016      OK!
 31    2.500    0.016      OK!
 32    2.500    0.016      OK!
 33    2.500    0.016      OK!
 34    2.500    0.016      OK!
 35    2.500    0.015      OK!
 36    2.500    0.015      OK!
 37    2.500    0.016      OK!
 38    2.500    0.016      OK!
 39    2.500    0.031      OK!
 40    2.500    0.016      OK!

Total points: 100.0 from 100
