Result for evaluating problem `rail`
No.   Points   Time     Result

  1   6.667    0.047      OK!
  2   6.667    0.016      OK!
  3   6.667    0.047      OK!
  4   6.667    0.047      OK!
  5   6.667    0.063      OK!
  6   6.667    0.063      OK!
  7   6.667    0.046      OK!
  8   6.667    0.016      OK!
  9   6.667    0.016      OK!
 10   6.667    0.031      OK!
 11   6.667    0.015      OK!
 12   6.667    0.016      OK!
 13   6.667    0.016      OK!
 14   6.667    0.015      OK!
 15   6.667    0.015      OK!

Total points: 100.0 from 100
